model,train_lang,test_lang,accuracy,precision_1,recall_1,f1_1
text_audio_concat,en,en,0.7418822234452394,0.3221024258760108,0.3545994065281899,0.3375706214689266
text_audio_cross_attention,en,en,0.7330764997248211,0.3321995464852608,0.43471810089020774,0.37660668380462725
text_only,en,en,0.7473858007705009,0.309375,0.29376854599406527,0.3013698630136986
text_audio_concat,en,fr,0.6744830961216917,0.4720744680851064,0.13556517311608962,0.21064082278481014
text_audio_cross_attention,en,fr,0.6461400432282534,0.43976522377109317,0.3814918533604888,0.40856110694567516
text_only,en,fr,0.6685290159455161,0.43572778827977315,0.11736252545824848,0.18491776975531488
text_audio_concat,en,hu,0.6451670220326937,0.44137726328287324,0.19583827209271698,0.27130085750775407
text_audio_cross_attention,en,hu,0.6494758351101635,0.4633185622845889,0.24785987093375478,0.32295152295152296
text_only,en,hu,0.6400586353944563,0.3448905109489051,0.07467404188067957,0.1227671321857746
